file1,file2,semantic_similarity,classification,actual_clone,predicted_clone
budget_tracker.c,factorial.c,16.8,VERY LOW SIMILARITY,False,False
budget_tracker.c,factorial.cpp,16.8,VERY LOW SIMILARITY,False,False
budget_tracker.c,factorial.f90,16.8,VERY LOW SIMILARITY,False,False
budget_tracker.c,factorial.rs,14.3,VERY LOW SIMILARITY,False,False
budget_tracker.c,fibonacci.c,15.1,VERY LOW SIMILARITY,False,False
budget_tracker.c,fibonacci.cpp,15.1,VERY LOW SIMILARITY,False,False
budget_tracker.c,fibonacci.f90,15.3,VERY LOW SIMILARITY,False,False
budget_tracker.c,fibonacci.rs,15.2,VERY LOW SIMILARITY,False,False
budget_tracker.c,inventory_tracker.c,30.0,LOW SIMILARITY,False,False
budget_tracker.c,matrix_multiply.c,11.2,VERY LOW SIMILARITY,False,False
budget_tracker.c,max_element.c,11.9,VERY LOW SIMILARITY,False,False
budget_tracker.c,max_element.cpp,11.9,VERY LOW SIMILARITY,False,False
budget_tracker.c,max_element.f90,11.9,VERY LOW SIMILARITY,False,False
budget_tracker.c,max_element.rs,9.4,VERY LOW SIMILARITY,False,False
budget_tracker.c,searching.c,12.6,VERY LOW SIMILARITY,False,False
budget_tracker.c,sorting.c,11.0,VERY LOW SIMILARITY,False,False
budget_tracker.c,sorting.cpp,11.0,VERY LOW SIMILARITY,False,False
budget_tracker.c,sorting.f90,11.0,VERY LOW SIMILARITY,False,False
budget_tracker.c,sorting.rs,8.5,VERY LOW SIMILARITY,False,False
budget_tracker.c,student.c,30.0,LOW SIMILARITY,False,False
budget_tracker.c,student.cpp,30.0,LOW SIMILARITY,False,False
budget_tracker.c,student.f90,30.0,LOW SIMILARITY,False,False
budget_tracker.c,student.rs,30.0,LOW SIMILARITY,False,False
budget_tracker.c,vowel_counter.c,13.1,VERY LOW SIMILARITY,False,False
factorial.c,factorial.cpp,99.6,HIGH SIMILARITY CLONE,True,True
factorial.c,factorial.f90,99.3,HIGH SIMILARITY CLONE,True,True
factorial.c,factorial.rs,97.0,HIGH SIMILARITY CLONE,True,True
factorial.c,fibonacci.c,15.0,VERY LOW SIMILARITY,False,False
factorial.c,fibonacci.cpp,15.0,VERY LOW SIMILARITY,False,False
factorial.c,fibonacci.f90,15.0,VERY LOW SIMILARITY,False,False
factorial.c,fibonacci.rs,15.0,VERY LOW SIMILARITY,False,False
factorial.c,inventory_tracker.c,16.8,VERY LOW SIMILARITY,False,False
factorial.c,matrix_multiply.c,20.9,VERY LOW SIMILARITY,False,False
factorial.c,max_element.c,21.7,VERY LOW SIMILARITY,False,False
factorial.c,max_element.cpp,21.7,VERY LOW SIMILARITY,False,False
factorial.c,max_element.f90,21.5,VERY LOW SIMILARITY,False,False
factorial.c,max_element.rs,18.7,VERY LOW SIMILARITY,False,False
factorial.c,searching.c,21.6,VERY LOW SIMILARITY,False,False
factorial.c,sorting.c,14.6,VERY LOW SIMILARITY,False,False
factorial.c,sorting.cpp,14.6,VERY LOW SIMILARITY,False,False
factorial.c,sorting.f90,14.6,VERY LOW SIMILARITY,False,False
factorial.c,sorting.rs,12.5,VERY LOW SIMILARITY,False,False
factorial.c,student.c,16.6,VERY LOW SIMILARITY,False,False
factorial.c,student.cpp,19.0,VERY LOW SIMILARITY,False,False
factorial.c,student.f90,19.2,VERY LOW SIMILARITY,False,False
factorial.c,student.rs,14.9,VERY LOW SIMILARITY,False,False
factorial.c,vowel_counter.c,24.9,VERY LOW SIMILARITY,False,False
factorial.cpp,factorial.f90,99.3,HIGH SIMILARITY CLONE,True,True
factorial.cpp,factorial.rs,97.0,HIGH SIMILARITY CLONE,True,True
factorial.cpp,fibonacci.c,15.0,VERY LOW SIMILARITY,False,False
factorial.cpp,fibonacci.cpp,15.0,VERY LOW SIMILARITY,False,False
factorial.cpp,fibonacci.f90,15.0,VERY LOW SIMILARITY,False,False
factorial.cpp,fibonacci.rs,15.0,VERY LOW SIMILARITY,False,False
factorial.cpp,inventory_tracker.c,16.8,VERY LOW SIMILARITY,False,False
factorial.cpp,matrix_multiply.c,20.9,VERY LOW SIMILARITY,False,False
factorial.cpp,max_element.c,21.5,VERY LOW SIMILARITY,False,False
factorial.cpp,max_element.cpp,21.5,VERY LOW SIMILARITY,False,False
factorial.cpp,max_element.f90,21.5,VERY LOW SIMILARITY,False,False
factorial.cpp,max_element.rs,18.7,VERY LOW SIMILARITY,False,False
factorial.cpp,searching.c,21.6,VERY LOW SIMILARITY,False,False
factorial.cpp,sorting.c,14.6,VERY LOW SIMILARITY,False,False
factorial.cpp,sorting.cpp,14.6,VERY LOW SIMILARITY,False,False
factorial.cpp,sorting.f90,14.6,VERY LOW SIMILARITY,False,False
factorial.cpp,sorting.rs,12.5,VERY LOW SIMILARITY,False,False
factorial.cpp,student.c,16.6,VERY LOW SIMILARITY,False,False
factorial.cpp,student.cpp,19.0,VERY LOW SIMILARITY,False,False
factorial.cpp,student.f90,19.2,VERY LOW SIMILARITY,False,False
factorial.cpp,student.rs,14.9,VERY LOW SIMILARITY,False,False
factorial.cpp,vowel_counter.c,24.8,VERY LOW SIMILARITY,False,False
factorial.f90,factorial.rs,96.8,HIGH SIMILARITY CLONE,True,True
factorial.f90,fibonacci.c,15.0,VERY LOW SIMILARITY,False,False
factorial.f90,fibonacci.cpp,15.0,VERY LOW SIMILARITY,False,False
factorial.f90,fibonacci.f90,15.0,VERY LOW SIMILARITY,False,False
factorial.f90,fibonacci.rs,15.0,VERY LOW SIMILARITY,False,False
factorial.f90,inventory_tracker.c,16.8,VERY LOW SIMILARITY,False,False
factorial.f90,matrix_multiply.c,20.9,VERY LOW SIMILARITY,False,False
factorial.f90,max_element.c,21.8,VERY LOW SIMILARITY,False,False
factorial.f90,max_element.cpp,21.8,VERY LOW SIMILARITY,False,False
factorial.f90,max_element.f90,22.0,VERY LOW SIMILARITY,False,False
factorial.f90,max_element.rs,18.9,VERY LOW SIMILARITY,False,False
factorial.f90,searching.c,21.4,VERY LOW SIMILARITY,False,False
factorial.f90,sorting.c,14.8,VERY LOW SIMILARITY,False,False
factorial.f90,sorting.cpp,14.8,VERY LOW SIMILARITY,False,False
factorial.f90,sorting.f90,14.9,VERY LOW SIMILARITY,False,False
factorial.f90,sorting.rs,12.3,VERY LOW SIMILARITY,False,False
factorial.f90,student.c,16.6,VERY LOW SIMILARITY,False,False
factorial.f90,student.cpp,18.8,VERY LOW SIMILARITY,False,False
factorial.f90,student.f90,19.2,VERY LOW SIMILARITY,False,False
factorial.f90,student.rs,14.7,VERY LOW SIMILARITY,False,False
factorial.f90,vowel_counter.c,24.7,VERY LOW SIMILARITY,False,False
